influence	blend_in	special	leader	authority
868	yes	yes	no	no	no
869	yes	yes	yes	no	yes
870	yes	yes	yes	yes	yes
871	no	yes	yes	yes	yes
872	yes	yes	yes	yes	yes
873	no	yes	no	yes	yes
874	no	yes	yes	no	no
875	no	no	yes	yes	yes
876	no	yes	no	no	yes
877	no	yes	no	no	no
878	yes	no	yes	yes	yes
879	yes	yes	no	yes	yes
880	no	yes	yes	yes	yes
881	yes	no	no	yes	yes
882	yes	no	yes	yes	no
883	no	no	yes	no	no
884	yes	yes	no	no	yes
885	yes	yes	no	yes	no
886	yes	no	no	no	yes
887	yes	no	yes	yes	yes
888	yes	no	yes	yes	yes
889	yes	no	yes	yes	yes
890	yes	yes	yes	no	no
891	yes	no	yes	yes	yes
892	yes	yes	no	yes	no
893	no	no	no	no	no
894	yes	yes	no	yes	no
895	no	yes	yes	no	yes
896	no	yes	no	no	no
897	yes	no	no	no	yes
898	yes	yes	no	yes	no
899	yes	no	no	yes	yes
900	yes	yes	no	yes	yes
901	no	yes	no	no	no
902	yes	no	yes	yes	yes
903	yes	no	yes	yes	no
904	no	yes	no	no	no
905	yes	no	yes	yes	no
906	yes	yes	yes	yes	yes
907	yes	no	no	no	no
908	yes	yes	yes	no	no
909	yes	no	no	no	no
910	no	yes	no	no	no
911	no	no	yes	yes	no
912	no	yes	no	yes	yes
913	no	no	no	yes	no
914	yes	yes	yes	no	no
915	no	yes	yes	no	no
916	no	yes	yes	yes	no
917	yes	yes	yes	yes	no
918	no	yes	no	no	no
919	yes	yes	no	no	no
920	no	yes	no	no	no
921	yes	no	yes	yes	yes
922	no	yes	no	no	no
923	yes	no	yes	yes	yes
924	yes	yes	no	no	no
925	yes	yes	yes	yes	yes
926	no	yes	no	no	no
927	yes	no	yes	no	yes
928	no	yes	no	no	no
929	yes	yes	yes	yes	yes
930	no	yes	no	no	yes
931	no	yes	no	no	no
932	yes	no	yes	yes	yes
933	yes	no	yes	yes	no
934	no	no	no	no	no
935	no	no	yes	no	yes
936	yes	no	yes	yes	yes
937	yes	yes	no	no	no
938	yes	yes	no	no	yes
939	yes	yes	yes	yes	yes
940	no	yes	yes	yes	yes
941	yes	yes	no	yes	yes
942	yes	yes	no	no	no
943	yes	yes	yes	yes	yes
